2026-08-14 07:44:06,857 | INFO    | test | START tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[firefox]
2026-08-14 07:44:08,988 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:44:08,990 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (8 ms)
2026-08-14 07:44:08,996 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:44:08,996 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (4 ms)
2026-08-14 07:44:09,004 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:44:09,004 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (7 ms)
2026-08-14 07:44:09,009 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:44:09,014 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (9 ms)
2026-08-14 07:44:10,010 | INFO    | test | END   tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[firefox] (3.15s)
