2026-08-14 07:44:03,083 | INFO    | test | START tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[firefox]
2026-08-14 07:44:04,658 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:44:04,658 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-14 07:44:04,662 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:44:04,663 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 07:44:04,669 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 07:44:04,669 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (3 ms)
2026-08-14 07:44:04,677 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 07:44:04,677 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (6 ms)
2026-08-14 07:44:05,764 | INFO    | test | END   tests/web/test_shopping_flow.py::test_cart_survives_a_page_reload[firefox] (2.68s)
