2026-08-14 07:42:36,688 | INFO    | test | START tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[abc]
2026-08-14 07:42:36,723 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:42:36,723 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:42:36,727 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,727 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:42:36,732 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:42:36,733 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 422 (3 ms)
2026-08-14 07:42:36,743 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,743 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (8 ms)
2026-08-14 07:42:36,745 | INFO    | test | END   tests/services/test_cart_flow.py::test_adding_unknown_product_is_rejected[abc] (0.06s)
