2026-08-14 07:42:36,905 | INFO    | test | START tests/services/test_cart_flow.py::test_checkout_with_empty_cart_is_rejected
2026-08-14 07:42:36,938 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 07:42:36,938 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 07:42:36,942 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,942 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (3 ms)
2026-08-14 07:42:36,946 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 07:42:36,946 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 422 (3 ms)
2026-08-14 07:42:36,965 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 07:42:36,966 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (18 ms)
2026-08-14 07:42:36,968 | INFO    | test | END   tests/services/test_cart_flow.py::test_checkout_with_empty_cart_is_rejected (0.06s)
