2026-08-14 08:33:44,042 | INFO    | test | START tests/services/test_cart_flow.py::test_checkout_with_empty_cart_is_rejected
2026-08-14 08:33:44,076 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 08:33:44,076 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (2 ms)
2026-08-14 08:33:44,098 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,098 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (21 ms)
2026-08-14 08:33:44,105 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/orders "HTTP/1.1 422 Unprocessable Entity"
2026-08-14 08:33:44,106 | INFO    | framework.http | POST http://127.0.0.1:8000/api/orders -> 422 (5 ms)
2026-08-14 08:33:44,110 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 08:33:44,110 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 08:33:44,112 | INFO    | test | END   tests/services/test_cart_flow.py::test_checkout_with_empty_cart_is_rejected (0.07s)
