2026-08-13 21:41:25,005 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/register "HTTP/1.1 201 Created"
2026-08-13 21:41:26,088 | INFO    | test | START tests/web/test_shopping_flow.py::test_complete_purchase_journey[firefox]
2026-08-13 21:41:27,607 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:41:27,607 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (3 ms)
2026-08-13 21:41:27,611 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:41:27,611 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-13 21:41:28,604 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:41:28,604 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (7 ms)
2026-08-13 21:41:31,778 | INFO    | test | END   tests/web/test_shopping_flow.py::test_complete_purchase_journey[firefox] (5.69s)
