2026-08-13 21:41:33,342 | INFO    | test | START tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[webkit]
2026-08-13 21:41:35,090 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-13 21:41:35,091 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (8 ms)
2026-08-13 21:41:35,099 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-13 21:41:35,103 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (6 ms)
2026-08-13 21:41:35,112 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-13 21:41:35,113 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (9 ms)
2026-08-13 21:41:35,120 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-13 21:41:35,120 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (6 ms)
2026-08-13 21:41:36,118 | INFO    | test | END   tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[webkit] (2.78s)
