2026-08-14 09:25:52,665 | INFO    | test | START tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[firefox]
2026-08-14 09:25:55,322 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 09:25:55,324 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (6 ms)
2026-08-14 09:25:55,331 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 09:25:55,331 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (2 ms)
2026-08-14 09:25:55,334 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 09:25:55,335 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (2 ms)
2026-08-14 09:25:55,340 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 09:25:55,340 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (5 ms)
2026-08-14 09:25:56,517 | INFO    | test | END   tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[firefox] (3.85s)
