2026-08-14 04:10:13,333 | INFO    | test | START tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[webkit]
2026-08-14 04:10:15,035 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/auth/login "HTTP/1.1 200 OK"
2026-08-14 04:10:15,036 | INFO    | framework.http | POST http://127.0.0.1:8000/api/auth/login -> 200 (21 ms)
2026-08-14 04:10:15,053 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/cart "HTTP/1.1 200 OK"
2026-08-14 04:10:15,054 | INFO    | framework.http | GET http://127.0.0.1:8000/api/cart -> 200 (16 ms)
2026-08-14 04:10:15,066 | INFO    | httpx | HTTP Request: GET http://127.0.0.1:8000/api/products?in_stock=true "HTTP/1.1 200 OK"
2026-08-14 04:10:15,067 | INFO    | framework.http | GET http://127.0.0.1:8000/api/products?in_stock=true -> 200 (12 ms)
2026-08-14 04:10:15,073 | INFO    | httpx | HTTP Request: POST http://127.0.0.1:8000/api/cart/items "HTTP/1.1 201 Created"
2026-08-14 04:10:15,074 | INFO    | framework.http | POST http://127.0.0.1:8000/api/cart/items -> 201 (3 ms)
2026-08-14 04:10:15,965 | INFO    | test | END   tests/web/test_shopping_flow.py::test_removing_an_item_updates_the_total[webkit] (2.63s)
